COMID,CAT_ROCKTYPE_100,CAT_ROCKTYPE_200,CAT_ROCKTYPE_300,CAT_ROCKTYPE_400,CAT_ROCKTYPE_500,CAT_ROCKTYPE_600,CAT_ROCKTYPE_999,CAT_ROCKTYPE_NODATA,ACC_ROCKTYPE_100,ACC_ROCKTYPE_200,ACC_ROCKTYPE_300,ACC_ROCKTYPE_400,ACC_ROCKTYPE_500,ACC_ROCKTYPE_600,ACC_ROCKTYPE_999,ACC_ROCKTYPE_NODATA,TOT_ROCKTYPE_100,TOT_ROCKTYPE_200,TOT_ROCKTYPE_300,TOT_ROCKTYPE_400,TOT_ROCKTYPE_500,TOT_ROCKTYPE_600,TOT_ROCKTYPE_999,TOT_ROCKTYPE_NODATA,source
3917914,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,ROCK_TYPES_CONUS
3917916,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,ROCK_TYPES_CONUS
3917918,0,0,0,0,0,70.06,29.94,0,0,0,0,0,0,83.12,16.88,0,0,0,0,0,0,83.12,16.88,0,ROCK_TYPES_CONUS
3917920,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917922,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917946,7.78,0,0,0,0,50.1,42.12,0,3.29,0,0,0,0,53.02,43.7,0,5.21,0,0,0,0,38.7,56.09,0,ROCK_TYPES_CONUS
3917948,0.28,0,0,0,0,60.01,39.71,0,0.01,0,0,0,0,72.47,27.52,0,0.01,0,0,0,0,72.47,27.52,0,ROCK_TYPES_CONUS
3917950,5.89,0,0,0,0,52.37,41.74,0,3.06,0,0,0,0,53.32,43.62,0,5.1,0,0,0,0,38.49,56.41,0,ROCK_TYPES_CONUS
3917956,0,0,0,0,0,55.17,44.83,0,0,0,0,0,0,55.17,44.83,0,0,0,0,0,0,55.17,44.83,0,ROCK_TYPES_CONUS
3917958,0,0,0,0,0,0.02,99.98,0,0,0,0,0,0,0.02,99.98,0,0,0,0,0,0,0.02,99.98,0,ROCK_TYPES_CONUS
3917960,0,0,0,0,0,0.54,99.46,0,0,0,0,0,0,0.54,99.46,0,0,0,0,0,0,0.54,99.46,0,ROCK_TYPES_CONUS
948010089,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
